Seção;Categoria;legenda categoria;nome 1;porcentagem 1;nome 2;porcentagem 2;nome 3;porcentagem 3;nome 4;porcentagem 4;nome 5;porcentagem 5;nome 6;porcentagem 6
Comércio geral;Ótica ;Qual o primeiro nome que lhe vem à cabeça quando se fala em ótica?;Diniz ;28,2 ;Brasil ;27,2 ;Paris ;12,8 ;Fujioka ;5,5 ;Carol ;1,7 ;;
Comércio geral;Drogaria ;Qual o primeiro nome que lhe vem à cabeça quando se fala em drogaria?;Santa Marta ;29,7 ;Drogasil ;18,2 ;Pague Menos ;3,5 ;Popular ;3,2 ;Drogapop ;2,8 ;;
Comércio geral;Farmácia de manipulação ;Qual o primeiro nome que lhe vem à cabeça quando se fala em farmácia de manipulação?;Farmácia Artesanal ;17,3 ;Alexfarma ;8,7 ;Therapeutica ;1,7 ;Natufarma ;1,3 ;Pharmasu ;1,2 ;;
Comércio geral;Loja de calçados;Qual o primeiro nome que lhe vem à cabeça quando se fala em loja de calçados?;Flávio’s ;52,5 ;Rival ;12,5 ;Savan ;3,3 ;Dupé ;3,0 ;Pegada ;1,5 ;;
Comércio geral;Loja especializada em revenda de celular ;Qual o primeiro nome que lhe vem à cabeça quando se fala em loja especializada em revenda de celular?;Fujioka ;26,2 ;Novo Mundo ;8,0 ;Claro (loja) ;6,3 ;Ricardo Eletro ;5,7 ;Casas Bahia ;5,5 ;;
Comércio geral;Shopping Center ;Qual o primeiro nome que lhe vem à cabeça quando se fala em shopping center?;Flamboyant ;38,8 ;Passeio das Águas ;15,0 ;Portal Shopping ;10,8 ;Buriti Shopping ;10,3 ;Cerrado ;7,7 ;;
Comércio geral;Loja de autopeças ;Qual o primeiro nome que lhe vem à cabeça quando se fala em loja de autopeças?;JaiCar ;6,8 ;Bom Preço ;5,3 ;Reis Peças ;1,5 ;Junin ;1,2 ;Polipeças ;1,0 ;Auto Anhanguera ;1,0 
Serviços diversos;Academia de ginástica ;Qual o primeiro nome que lhe vem à cabeça quando se fala em academia de ginástica?;Smart Fit ;7,5 ;Vita ;4,7 ;Geração Saúde ;2,2 ;Bem Estar ;1,3 ;Bodytech ;1,3 ;;
Serviços diversos;Time de futebol goiano ;Qual o primeiro nome que lhe vem à cabeça quando se fala em time de futebol goiano?;Goiás ;55,5 ;Vila Nova ;27,0 ;Atlético ;14,0 ;;;;;;
Serviços diversos;Financeira/ empréstimo pessoal ;Qual o primeiro nome que lhe vem à cabeça quando se fala em financeira/ empréstimo pessoal?;Crefisa ;13,5 ;Losango ;12,2 ;Caixa Econômica Federal ;8,8 ;BMG ;6,2 ;Banco Itaú ;6,0 ;;
Serviços diversos;Bateria para automóvel ;Qual o primeiro nome que lhe vem à cabeça quando se fala em bateria para automóvel?;Moura ;48,8 ;Heliar ;8,8 ;AC Delco ;1,2 ;Cargo ;0,7 ;Cral;0,5 ;;
Serviços diversos;Banco ;Qual o primeiro nome que lhe vem à cabeça quando se fala em banco?;Banco do Brasil ;28,8 ;Caixa Econômica Federal ;26,8 ;Itaú ;22,5 ;Bradesco ;16,3 ;Santander ;4,5 ;;
Serviços diversos;Entidade de encaminhamento para estágio ;Qual o primeiro nome que lhe vem à cabeça quando se fala em entidade de encaminhamento para estágio?;IEL ;14,0 ;CIEE ;9,8 ;Senai ;2,3 ;Pró Cerrado ;1,7 ;PUC ;1,3 ;Sine ;1,3 
Serviços diversos;Curso preparatório para concursos ;Qual o primeiro nome que lhe vem à cabeça quando se fala em curso preparatório para concursos?;Lúcia Vasconcelos ;7,8 ;Tese ;5,2 ;Obcursos ;5,0 ;Objetivo ;1,7 ;LFG ;1,7 ;;
Serviços diversos;Curso profissionalizante ;Qual o primeiro nome que lhe vem à cabeça quando se fala em curso profissionalizante?;Senai ;21,5 ;Senac ;10,5 ;Sebrae ;3,7 ;Colégio Vitória ;3,0 ;Microlins ;3,0 ;;
Comunicação;Rádio FM;Qual o primeiro nome que lhe vem à cabeça quando se fala em emissora de rádio FM?;99.5 FM - Serra Dourada ;18,0 ;Terra ;15,2 ;Interativa ;9,2 ;Jovem Pan ;7,7 ;Paz ;4,3 ;;
Comunicação;Rádio AM ;Qual o primeiro nome que lhe vem à cabeça quando se fala em emissora de rádio AM?;Difusora ;13,2 ;730 ;7,8 ;Radio Brasil Central/ RBC ;3,2 ;Daqui ;1,8 ;Jornal ;1,5 ;;
Comunicação;Jornal impresso ;Qual o primeiro nome que lhe vem à cabeça quando se fala em jornal impresso?;O Popular ;63,5 ;Daqui ;30,2 ;Diário da Manhã ;1,5 ;;;;;;
Comunicação;Emissora de televisão ;Qual o primeiro nome que lhe vem à cabeça quando se fala em emissora de TV?;Globo ;38,3 ;TV Anhanguera ;21,7 ;Record ;16,7 ;SBT ;13,5 ;TV Serra Dourada ;4,5 ;;
