Seção;Categoria;legenda categoria;nome 1;porcentagem 1;nome 2;porcentagem 2;nome 3;porcentagem 3;nome 4;porcentagem 4;nome 5;porcentagem 5;nome 6;porcentagem 6
Comércio geral;Joalheria ;Qual o primeiro nome que lhe vem à cabeça quando se fala em joalheria?;Omega Dornier ;27,5 ;Cellini ;19,8 ;Vivara ;16,3 ;H Stern ;6,5 ;Wendel Jóias ;4,3 ;;
Educação;Faculdade particular ;Qual o primeiro nome que lhe vem à cabeça quando se fala em faculdade particular?;Puc ;49,3 ;Unip ;11,5 ;Universo ;9,5 ;Uni-Anhanguera ;7,8 ;Padrão ;5,0 ;;
Educação;Instituição de curso de pós-graduação ;Qual o primeiro nome que lhe vem à cabeça quando se fala em instituição de curso de pós-graduação?;Ipog ;27,8 ;Puc ;22,3 ;UFG ;9,0 ;Universo ;4,3 ;FGV ;4,3 ;;
Educação;Curso de português ;Qual o primeiro nome que lhe vem à cabeça quando se fala em curso de português?;Lúcia Vasconcelos ;29,0 ;Carlos André ;9,8 ;PUC Idiomas ;4,3 ;Kumon ;2,5 ;UFG (Centro de Linguas) ;2,3 ;;
Saúde;Plano de saúde ;Qual o primeiro nome que lhe vem à cabeça quando se fala em plano de saúde?;Unimed ;68,8 ;Ipasgo ;14,8 ;América Saúde ;4,3 ;Imas ;3,5 ;Cassi ;2,3 ;;
Saúde;Plano odontológico ;Qual o primeiro nome que lhe vem à cabeça quando se fala em plano odontológico?;Uniodonto ;59,3 ;Ipasgo ;11,3 ;Odonto Prev ;2,8 ;Bradesco ;2,5 ;;;;
Saúde;Hospital particular ;Qual o primeiro nome que lhe vem à cabeça quando se fala em hospital particular?;Anis Rassi ;17,3 ;Amparo ;10,3 ;Lúcio Rebelo ;10,3 ;Santa Helena ;10,3 ;Samaritano ;8,3 ;;
Saúde;Clínica Odontológica ;Qual o primeiro nome que lhe vem à cabeça quando se fala em clínica odontológica?;Crool ;7,2 ;Sorriso ;3,5 ;C.I.R.O ;1,8 ;;;;;;
Saúde;Clínica de diagnósticos e exames por imagem ;Qual o primeiro nome que lhe vem à cabeça quando se fala em clínica de diagnósticos e exames por imagem?;CDI - Centro de Diagnóstico por Imagem ;14,0 ;São Marcelo ;10,5 ;Clínica da Imagem ;7,5 ;São Camilo ;5,8 ;Padrão ;5,8 ;;
Saúde;Clínica de olhos ;Qual o primeiro nome que lhe vem à cabeça quando se fala em clínica de olhos?;Instituto Panamericano da Visão ;18,3 ;VER ;11,0 ;Instituto de Olhos de Goiânia ;10,5 ;Hospital de Olhos de Goiânia ;9,0 ;Clínica de Olhos de Goiânia ;5,5 ;;
Beleza;Salão de beleza ;Qual o primeiro nome que lhe vem à cabeça quando se fala em salão de beleza?;Su Beauty ;17,3 ;Fátima Bastos ;2,3 ;Ney Marinho ;2,0 ;Le Salon ;1,8 ;Hot Belle ;1,5 ;Le Touche ;1,5 
Imóveis;Condomínio horizontal fechado ;Qual o primeiro nome que lhe vem à cabeça quando se fala em condomínio horizontal fechado?;Alphaville ;30,3 ;Jardins ;25,3 ;Aldeia do Vale ;16,3 ;Granville ;8,5 ;Portal do Sol ;4,5 ;;
Imóveis;Construtora ;Qual o primeiro nome que lhe vem à cabeça quando se fala em construtora?;EBM ;9,5 ;MRV Engenharia ;6,0 ;Borges Landeiro ;5,5 ;CMO ;4,8 ;Opus ;3,8 ;;
Imóveis;Imobiliária;Qual o primeiro nome que lhe vem à cabeça quando se fala em imobiliária?;Adão Imóveis ;14,5 ;Leonardo Rizzo ;7,5 ;Tropical Brasil Brokers ;7,2 ;Urbs ;5,0 ;Imobiliary ;3,3 ;;
Serviços diversos;Corretora de seguros ;Qual o primeiro nome que lhe vem à cabeça quando se fala em corretora de seguros?;Porto Seguro ;25,8 ;Bradesco ;13,3 ;Itaú ;5,3 ;Banco do Brasil ;3,8 ;Sul América ;3,0 ;;
Serviços diversos;Empresa de segurança patrimonial ;Qual o primeiro nome que lhe vem à cabeça quando se fala em empresa de segurança patrimonial?;TecnoSeg/ TecnoGuarda ;7,8 ;Gentleman ;6,0 ;Prosegur ;4,5 ;New Line ;3,8 ;Proforte ;3,5 ;;
Comunicação;Jornal Impresso;Qual o primeiro nome que lhe vem à cabeça quando se fala em jornal impresso?;O Popular ;85,8 ;Jornal Daqui ;8,0 ;Diário da Manhã ;4,0 ;Opção ;0,5 ;O Hoje ;0,5 ;;
Comunicação;Emissora de TV;Qual o primeiro nome que lhe vem à cabeça quando se fala em emissora de TV?;Globo ;37,8 ;Anhanguera ;32,8 ;Record ;10,8 ;SBT ;5,8 ;Band ;3,0 ;;
